Work,KL1,KD0,KD2,CL1,CD0,CD2_theta,(L/D)_max,AOA_max (deg),CL,CD,Wing Area (S),Span (b),Chord (c)
Synth_1,207.2261891065609,2.1783247402992947,574.5269103170626,1.6578,0.0174,4.5962,2.93,3.53,0.1021,0.0349,0.0784,0.686,0.114
Synth_2,116.86295976570716,6.304040257941774,535.455047587986,0.9349,0.0504,4.2836,1.01,6.22,0.1014,0.1009,0.0789,0.688,0.115
Synth_3,76.73549677662626,4.147695994087573,181.53612804553123,0.6139,0.0332,1.4523,1.4,8.66,0.0928,0.0664,0.0862,0.719,0.12
Synth_4,171.31606480932564,3.62218071003963,450.39063280647576,1.3705,0.029,3.6031,2.12,5.14,0.1229,0.058,0.0651,0.625,0.104
Synth_5,170.0073267527221,5.558675675945189,296.67099447834386,1.3601,0.0445,2.3734,2.09,7.84,0.1862,0.0889,0.043,0.508,0.085
Synth_6,236.2535191802216,6.056803815935287,233.4720134936934,1.89,0.0485,1.8678,3.14,9.23,0.3044,0.0969,0.0263,0.397,0.066
Synth_7,179.7761095182239,1.6975351482897998,281.29257875882195,1.4382,0.0136,2.2503,4.11,4.45,0.1117,0.0272,0.0716,0.655,0.109
Synth_8,261.85562840281165,4.582652230546607,129.52136629796294,2.0948,0.0367,1.0362,5.37,10.78,0.394,0.0733,0.0203,0.349,0.058
Synth_9,71.35135302418557,2.2125299054253773,273.89066625421987,0.5708,0.0177,2.1911,1.45,5.15,0.0513,0.0354,0.1559,0.967,0.161
Synth_10,85.26541358174998,2.5191161523699863,532.9464839714456,0.6821,0.0202,4.2636,1.16,3.94,0.0469,0.0403,0.1706,1.012,0.169
Synth_11,204.06737444880864,2.898456520190797,338.082735171033,1.6325,0.0232,2.7047,3.26,5.31,0.1512,0.0464,0.0529,0.564,0.094
Synth_12,212.4541589743293,1.832463122294423,273.7120833415927,1.6996,0.0147,2.1897,4.74,4.69,0.1391,0.0293,0.0575,0.587,0.098
Synth_13,284.9213084972192,4.271505067383151,445.3555001180866,2.2794,0.0342,3.5628,3.27,5.61,0.2232,0.0683,0.0358,0.464,0.077
Synth_14,181.01796873857612,2.674072583368705,57.27991165782247,1.4481,0.0214,0.4582,7.31,12.38,0.3129,0.0428,0.0256,0.392,0.065
Synth_15,148.51255079514954,6.446561677883836,49.967688792413306,1.1881,0.0516,0.3997,4.14,20.58,0.4267,0.1031,0.0187,0.335,0.056
Synth_16,121.96065685982956,4.54224499765588,89.26617234467932,0.9757,0.0363,0.7141,3.03,12.92,0.2201,0.0727,0.0363,0.467,0.078
Synth_17,317.40650501277287,3.718512354259708,283.34359968588,2.5393,0.0297,2.2667,4.89,6.56,0.2909,0.0595,0.0275,0.406,0.068
Synth_18,113.48753339247082,1.7191918962888395,105.6599497118936,0.9079,0.0138,0.8453,4.21,7.31,0.1158,0.0275,0.0691,0.644,0.107
Synth_19,244.35360732947777,1.529807904484826,192.38884467063747,1.9548,0.0122,1.5391,7.12,5.11,0.1743,0.0245,0.0459,0.525,0.087
Synth_20,228.13823647736896,5.098178112998003,153.7607941835554,1.8251,0.0408,1.2301,4.07,10.43,0.3323,0.0816,0.0241,0.38,0.063
Synth_21,189.9259055509156,5.605213405740113,578.3557538430923,1.5194,0.0448,4.6268,1.67,5.64,0.1496,0.0897,0.0535,0.566,0.094
Synth_22,195.46654316374256,3.733804984129801,356.7011529021677,1.5637,0.0299,2.8536,2.68,5.86,0.16,0.0597,0.05,0.548,0.091
Synth_23,232.35070029376544,4.146765233546384,70.95575518191787,1.8588,0.0332,0.5676,6.77,13.85,0.4494,0.0663,0.0178,0.327,0.054
Synth_24,210.8861932171722,3.910219553956708,511.55430070962814,1.6871,0.0313,4.0924,2.36,5.01,0.1475,0.0626,0.0542,0.57,0.095
Synth_25,189.9529132792356,4.627260432539663,227.48060313368083,1.5196,0.037,1.8198,2.93,8.17,0.2167,0.074,0.0369,0.471,0.078
Synth_26,144.20591467578998,5.458625060855244,413.4308906204473,1.1536,0.0437,3.3074,1.52,6.58,0.1326,0.0873,0.0603,0.602,0.1
Synth_27,277.30819792949166,2.059693538485957,175.90442888496025,2.2185,0.0165,1.4072,7.28,6.2,0.2401,0.033,0.0333,0.447,0.075
Synth_28,134.17632299898068,3.5213750001531468,249.42629880826863,1.0734,0.0282,1.9954,2.26,6.81,0.1275,0.0563,0.0627,0.613,0.102
Synth_29,87.06239077390279,4.044597574179468,260.3344106786506,0.6965,0.0324,2.0827,1.34,7.14,0.0868,0.0647,0.0922,0.744,0.124
Synth_30,247.6143169540603,5.022321080255857,42.33577956801122,1.9809,0.0402,0.3387,8.49,19.73,0.6823,0.0804,0.0117,0.265,0.044
Synth_31,201.67243774003197,1.915693904969655,494.2680671198973,1.6134,0.0153,3.9541,3.28,3.57,0.1004,0.0307,0.0796,0.691,0.115
Synth_32,143.18238954509016,5.746068643332829,193.09090900821383,1.1455,0.046,1.5447,2.15,9.88,0.1976,0.0919,0.0405,0.493,0.082
Synth_33,93.95740141775002,5.330244690813252,51.654888496340334,0.7517,0.0426,0.4132,2.83,18.41,0.2415,0.0853,0.0331,0.446,0.074
Synth_34,130.79236326957192,3.7183558106163592,376.3725483463433,1.0463,0.0297,3.011,1.75,5.69,0.104,0.0595,0.0769,0.679,0.113
Synth_35,263.30744976794506,6.33441854618383,365.848129319724,2.1065,0.0507,2.9268,2.73,7.54,0.2772,0.1014,0.0289,0.416,0.069
Synth_36,300.958581694952,3.712821726197268,555.2939191692301,2.4077,0.0297,4.4424,3.31,4.69,0.1969,0.0594,0.0406,0.494,0.082
Synth_37,210.8114652804872,3.03828819942657,118.40661873244976,1.6865,0.0243,0.9473,5.56,9.18,0.2702,0.0486,0.0296,0.422,0.07
Synth_38,180.635595070391,3.583189771064335,118.24803046046776,1.4451,0.0287,0.946,4.39,9.97,0.2516,0.0573,0.0318,0.437,0.073
Synth_39,112.94628733826087,2.816877213081767,264.8860300381407,0.9036,0.0225,2.1191,2.07,5.91,0.0932,0.0451,0.0859,0.718,0.12
Synth_40,195.2363724031076,5.292821673676105,508.665844107332,1.5619,0.0423,4.0693,1.88,5.84,0.1593,0.0847,0.0502,0.549,0.091
Synth_41,110.45147750241576,5.276218387757069,204.1566463701167,0.8836,0.0422,1.6333,1.68,9.21,0.142,0.0844,0.0563,0.581,0.097
Synth_42,218.09145561917495,5.377706407026172,580.0977011537341,1.7447,0.043,4.6408,1.95,5.52,0.168,0.086,0.0476,0.535,0.089
