C_L,C_D,alpha_d,L/D Max,S,Span (b),Chord (c)
4.105144018,4.015757054,1.959640911,5.374063066,0.001948775,0.108,0.018
4.370703685,4.195577708,3.018142146,7.313140651,0.001830369,0.105,0.017
3.324312855,3.181085337,2.798006665,4.137370939,0.002406512,0.12,0.02
1.232286154,1.175487014,1.262995569,3.028384571,0.006491999,0.197,0.033
2.673220243,2.541988851,1.052758923,4.8892755,0.002992645,0.134,0.022
0.909628561,0.862254372,1.001903616,4.210181162,0.008794799,0.23,0.038
2.33310092,2.204636679,1.193506485,7.121645728,0.003428913,0.143,0.024
2.506738293,2.361263434,1.373475536,4.074157139,0.003191398,0.138,0.023
5.643851676,5.266296024,3.036278602,6.772756354,0.001417472,0.092,0.015
3.204492692,2.952639057,1.444463559,7.2843872,0.002496495,0.122,0.02
10.53060023,9.611509282,5.316029559,8.490626533,0.000759691,0.068,0.011
1.187010302,1.07319043,1.579186797,2.831207591,0.006739621,0.201,0.034
2.653081186,2.368527663,1.573136204,5.557273335,0.003015362,0.135,0.022
1.931759967,1.7191204,1.336779696,4.387745967,0.004141301,0.158,0.026
1.903920124,1.62067278,1.369455062,3.568163089,0.004201857,0.159,0.026
2.79445508,2.363607313,1.449182936,5.091902445,0.002862812,0.131,0.022
5.682594056,4.760654467,2.308230594,11.05963668,0.001407808,0.092,0.015
5.048711261,4.216120108,3.538381004,6.127855218,0.001584563,0.098,0.016
6.20835574,5.11859335,2.536121873,12.41042877,0.001288586,0.088,0.015
2.663672507,2.16811772,1.136368534,7.702264316,0.003003372,0.134,0.022
0.64270082,0.516445303,1.089740802,2.567853044,0.012447471,0.273,0.046
5.995319682,4.755823806,2.882413818,9.398496006,0.001334374,0.089,0.015
3.012723198,2.343895848,1.793431997,5.097607713,0.002655405,0.126,0.021
4.048755586,3.139721112,1.907574787,6.958733176,0.001975916,0.109,0.018
3.547785601,2.742307649,1.993970023,7.132222104,0.002254928,0.116,0.019
2.519391533,1.934771055,1.041019639,4.897395865,0.00317537,0.138,0.023
4.572330577,3.499913564,3.209025902,6.671227799,0.001749655,0.102,0.017
4.569179194,3.463442202,2.201982433,7.79851047,0.001750862,0.102,0.017
11.34465653,7.996899081,4.719224306,11.85532202,0.000705178,0.065,0.011
2.273506354,1.58129471,1.459077818,8.198510586,0.003518794,0.145,0.024
3.414334056,2.366818998,1.734334569,4.959503602,0.002343063,0.119,0.02
5.145028129,3.554573204,2.029608589,6.790354263,0.001554899,0.097,0.016
4.20648184,2.876936312,2.408011483,9.373337869,0.001901827,0.107,0.018
3.075480751,2.061096615,1.429396934,7.271070877,0.002601219,0.125,0.021
4.867018425,3.228567549,2.60401972,9.106349808,0.001643717,0.099,0.017
1.588334158,1.042875834,1.592633041,3.620753494,0.005036724,0.174,0.029
4.53446621,2.956895798,2.068288952,9.130878839,0.001764265,0.103,0.017
1.501951493,0.94939516,1.058669597,6.781359126,0.005326404,0.179,0.03
2.911597539,1.834042355,1.364112769,9.072479241,0.002747632,0.128,0.021
2.187446674,1.33503432,1.763474805,6.006690393,0.003657232,0.148,0.025
1.812115209,1.086503177,1.485919222,5.093984832,0.00441473,0.163,0.027
2.955235877,1.690752155,1.385026602,8.123945528,0.00270706,0.127,0.021
1.844965771,1.03256369,1.042862126,7.317001526,0.004336124,0.161,0.027
2.645906813,1.399923639,1.043721506,5.554147821,0.003023538,0.135,0.022
2.833400015,1.44256724,1.384495509,6.981018173,0.002823463,0.13,0.022
2.81053765,1.273105155,1.318388551,6.582201836,0.00284643,0.131,0.022
1.147552766,0.498219393,1.190501327,5.284868348,0.006971357,0.205,0.034
2.650332162,1.111254012,1.350615217,6.845342277,0.00301849,0.135,0.022
2.191512526,0.82310623,1.118610196,7.790157172,0.003650447,0.148,0.025
4.108846842,1.50648213,2.142500436,13.01545259,0.001947018,0.108,0.018
1.608118547,0.572454313,1.135604941,7.711509053,0.004974758,0.173,0.029
1.642368014,0.573033601,1.115167151,7.575734235,0.004871015,0.171,0.028
4.158915802,1.305911031,1.724427188,11.77777137,0.001923578,0.107,0.018
